,Category,Label,text
65,Poor service,4,"CUSTOMER SERVICE DISASTER @verizon!  Bought four new iPhones for family - Verizon rep backed up all phones to icloud, erased the old phones and sent us on our way.  BUT screwed up one of the backups - all data lost!!"
66,Poor service,4,Verizon FiOS is a complete scam. Complete...#customerservicecc @VerizonSupport Worse than Comcast#scams#anythingbutFios
67,Poor service,4,"@verizon Nah, I’d rather you just lower your ridiculous fees for Fios"
68,Poor service,4,@bobbysprinkler @VerizonSupport I was there.  Leaving Verizon also.  Most disappointed in customer service I’ve ever been!
69,Happy Customer,2,@924LittleDevil Same. I have Verizon and I'm happy with the service.
70,Poor service,4,Verizon is supposed to be the worlds most trusted network but um I’m not trusting it right now.
71,Potential New Customer,5,@comcastcares I don’t have 6 hours to waste with someone on the phone. Would be quicker to have Verizon come install internet that works.
72,Poor service,4,"If @verizon is the ""Best network"", the other guys must suck beyond sucking... #VerizonSUCKS"
73,Potential New Customer,5,@ATT yo why is the service so bad??? I’ve been only having 2 bars lately I’m about to switch over to @verizon
74,Poor service,4,VERIZON REALLY TRASH NOW
75,Happy Customer,2,"Ah yes, the Internet and router we just upgraded for $20 more a month. Thank you @verizon https://t.co/tYfrufBtW0"
76,Happy Customer,2,@OldSlowSwimmer Verizon was long time att user before. Happy with both.  iPhone experience is identical on both really. My decision to go X was in large part b/c of camera &amp; screen size over the 8. I’m sure I would have been happy with 8 too.
77,Potential New Customer,5,My offer still stands I currently in limbo with access to both @comcastcares and @VerizonSupport who ever can finalize the better deal tomorrow will get my business. Comcast only offered me $5 less so far and Verizon told me there's nothing they can do.
78,Poor service,4,Verizon service is trash ?
79,Poor service,4,"@thewadekeller IDK, but Verizon sucks on the floor at the dome"
80,Happy Customer,2,@VerizonSupport Yayyyyyyy! Right at 9 pm my services were restored. Since 3:30 A.M. Saturday it was off! You GO VERIZON TECHS! Ty ty ty ty ty I love Verizon??
81,Poor service,4,"@verizon @VerizonSupport @VZWSupport OWN UP TO YOUR MISTAKE &amp; FIX IT #PLEASE! Your CSR promised our accnt was fixed—its not #VERIZON needs to #respect their most loyal customers, not let them drown. #loyaltyiseverything #CUSTOMERSERVICEFAIL#MakeIt"
82,Poor service,4,I be home nex month .. ima pull up to Verizon and choke u until they drop my phone bill to $40 a month lol https://t.co/D51ZdYoabQ
83,Poor service,4,"3 Verizon visits, 4 emails, and nearly 4 hours worth of phone calls, ya girl is finally on her own plan ??"
84,Poor service,4,"Verizon screwed me again! They didn’t show up for appointments which I videotaped ,missed several more appointments and then charged me for for missed appointment! Can’t get anyone on the phone to help. Now I have to take them to court"
85,Poor service,4,"Verizon wants you to report a problem on line, but their internet IS NOT WORKING"
86,Happy Customer,2,@kiademi_ What company. im at verizon never have slow downs even on hotspot
87,Happy Customer,2,"@VZWSupport Easy does it, JR. I love Verizon and am having no issues. Just looking for a way to boost signal when I’m in very desolate areas."
88,Happy Customer,2,Today I switched to @Verizon and bought an iPhone X because the guy at @ATT was rude and had no social skills...but the guy at Verizon offered me a job...I said no BUT I thought about it once they said they pay your tuition ?????
89,Poor service,4,@verizon why do I pay for internet that’s cuts off every couple days. Tired of resetting router just to connect to internet
90,Poor service,4,"If I have to see one more Middleditch Verizon commercial, I will let out a primal scream."
91,Happy Customer,2,@VZWSupport Thank you that’s why I’m with Verizon now
92,Poor service,4,Something is always wrong with Verizon
93,Poor service,4,I wonder if Verizon actually plans on crediting me for my service being out for 2 damn days ?
94,Poor service,4,"I went to Verizon to disconnect a phone number. They handed me a business card &amp; told me to call the number.  NO customer service. I stood there and called. 35 MIN LATER, a two min. transaction. Fuck that. They charge a fortune. Bye bye, V."
95,Poor service,4,"@Verizon has some of the worst Unlimited data I have ever used. For one it’s not even unlimited, once you hit a point they just slow it down. When they slow it down it feels like your trying to use WiFi at McDonalds. I mean it’s complete udder trash!"
96,Poor service,4,"The internet cut out right after I started streaming. So I have to use data to post this on Twitter. Thanks, Verizon."
97,Poor service,4,"@verizon look. I just switched over from sprint to you guys, and y’all are really fuckin me over. I’ve called your support team many times to get everything fixed and you guys can’t seem to do anything to help me. Should I just be switching back to "
98,Potential New Customer,5,@ATT I'll be switching to @verizon tomorrow after the crappy experience I've had today trying to file an insurance claim.
99,Happy Customer,2,Verizon never did this and I was with them 15-20 years. I received this via text message 3/29. #wow #customerappreciationwinHappy Anniversary from MetroPCS! It has been two years since you joined the MetroPCS family - just a little note to say thank you! :) #IAmMetro
100,Happy Customer,2,"Before with verizon i couldnt use most of my apps because it was so slow. Now my apps run at good speed, but facebook keeps crashing, with headphones in my google still comes up, and my phone decides when it wants to recieve texts and calls. SICK DOPE TITE."
101,Poor service,4,@verizon zero cell service on Miami Beach today--all day. How badly do you guys suck? Badly. #verizonsux
102,Poor service,4,"Honestly, verizon has been giving such a shitty service lately. #Done."
103,Happy Customer,2,Verizon gotta be the best phone service ever ????. My bill bout 8 days late &amp; somehow my phone still on
104,Poor service,4,Here I am in another issue with @verizon . Bunch of money grubbers! Apparently loyal customers mean nothing to them! Time to switch!
105,Potential New Customer,5,I might switch to Verizon.
106,Poor service,4,@optimum You guys have the worst fucking WiFi I have ever dealt with. Verizon is expensive as hell but I’ll gladly hand them every dollar I make for the rest of my life rather than deal with your constant cutouts and shit connection. I hope your patheti
107,Poor service,4,The bait and switch I’m getting via DM from Verizon is crazy. I can’t believe how unethical they are from a sales standpoint. Basically lied to me and now tell me it’s just the way it is. Someone update me on #themasters so I can know what’s going on!
108,Churning/Lost customer,1,"@TMobile Thankfully, I went back to T-Mobile recently and I'm so glad I did. I left Verizon and won't go back. Just not worth it."
109,Happy Customer,2,@Comcast why does your modem and router suck so much? My internet drops from my smart tv every thirty minutes since I regretfully switched from the superior Verizon Fios. If you tell me to restart my modem I will smash it with a hammer
110,Happy Customer,2,"So the third Verizon Guy was able to make the fix and we now have cable. Two weeks without TV and I’ve just about got used to not having the cacophony of endless cable news in my ears. Back to being permanently disgusted, outraged and stressed out..."
111,Higher Price,3,"I literally live to work , to pay my expensive ass Verizon bill &amp; buy food on lunch breaks at work.?"
112,Poor service,4,"honestly Verizon is shitty, like why am I not getting reception in Walmart or fucking Avon of all places???"
113,Potential New Customer,5,@TMobileHelp You guys are still struggling to help me BUT I've had enough. Clear my account and replace my phone so that I can move to @verizon or another carrier of my choice who can provide BETTER customer service. No outgoing service since February...S
114,Poor service,4,Verizon Fios gonna expect me to pay them this week but can’t get my channels back on to work properly. Smh
115,Happy Customer,2,my moms buying our verizon guy that helped me with my phone today a soft pretzel from target and it’s making my day
116,Poor service,4,@Jumexpapi @verizon Can’t be in a phone call and use data at the same time. Only AT&amp;T let’s you do that
117,Potential New Customer,5,I might switch to Verizon or sum other company this weekend and get a new phone
118,Poor service,4,Like realshit she lives 5 min from the Verizon store and it’s going on 40 minutes me being here
119,Poor service,4,Anyone else on @verizon have their LTE drop as soon as they pick up a phone call and return as soon as you hang up?
120,Potential New Customer,5,@NicoleVillaluz Agreed AT&amp;T is cheaper but just came back to Verizon. And as I've always felt Verizon is expensive but you get the best service both customer svc and actual cell svc imo.
121,Poor service,4,@newmoney401 Yeah man that was bad lol Verizon can go thru some shit
122,Poor service,4,@newmoney401 Wtf is that shit from Verizon ?
123,Churning/Lost customer,1,"@VZWSupport Well, you know very well the problem. Verizon is no longer a reliable provider to me."
124,Poor service,4,THEIR SERVICE IS SHIT AND I NEVER ACTUALLY HAVE DATA ANYWHERE I LOVE PAYING A SHIT TON OF MONEY FOR SOMETHING THAT NEVER WORKS @verizon
125,Churning/Lost customer,1,I WANT TO SWITCH FROM VERIZON WIRELESS
126,Happy Customer,2,"@ATTCares Run run run away from ATT... @Verizon knows how a company should work. best customer service,best network and most of all they fix their equipment when it breaks...  if you want to join Att ..this is what to expect for speeds..I'm at day 34 of a"
127,Poor service,4,Ugh my mom has been on the phone w Verizon and they are so fucking stupid. Why can't these reps have information from previous phone calls so they don't act like we're lying. Bitch made a mistake and now someone giving my mom a hard time... Fuck these companies man. No respect.
128,Potential New Customer,5,@TMobile @sprint @verizon @comcast. I currently pay @ATT 110$ a month for two iphones and 8gb of data (both phones paid off). Who wants a lifelong customer?
129,Potential New Customer,5,@allied1987 @JohnLegere @TMobile @verizon When Verizon gives me free coffee and free Auntie Anne's and the stuff I get on T-Mobile Tuesdays then maybe I'll consider a different carrier. Until then I'm enjoying my Netflix and my free stuff on Tuesdays
130,Higher Price,3,"@allied1987 @JohnLegere @TMobile @verizon I hear ya , VerizonUp for spending 300$ on a bill sounds like a joke. Like why so much"
131,Poor service,4,"@VZWSupport I would like to know why our phone order wasn't processed as promised and why none of your CSR could deal with the problem, including supervision.  Over 20 years I've been a Verizon wireless customer. We were at the store from 2:30 until 8:10P"
132,Poor service,4,Verizon has just sent an email from a pldonotreply address advising that problem has been resolved and ticket is closed. Phone does not work 2 mo.and counting. VERIZON has the worst customer service imaginable.
133,Poor service,4,@dougleclair @verizon @TMobile This is with two bars of “LTE”  I was having trouble streaming music last night. @verizon https://t.co/wC4OgEiNiV
134,Poor service,4,"Now I have to say about that Verizon Lightning cable deal when I did, because my cable's end appears to be frayed as fuck."
135,Poor service,4,I'm really starting to HATE verizon???????
136,Churning/Lost customer,1,9pm*..I had Verizon https://t.co/IieU7cldC9
137,Potential New Customer,5,@allied1987 @JohnLegere @TMobile @verizon Lol and here I am about to drop T-Mobile for Verizon.
138,Happy Customer,2,Went to Verizon Store. Immediate service. Competence.
139,Happy Customer,2,@verizon Terrible experience yesterday upgrading our phones. I want to thank Marilyn and Zully at Verizon wireless Quakertown store for their hard work and perseverance in spite of the incompetence of their coworkers in customer service.
140,Happy Customer,2,@allied1987 @JohnLegere @TMobile @verizon Uhh defenetly not. Verizon is the best and I have proof. I have a very large family and I have about 50-60 cousins. About 30 of those families have T-mobile and ever single hour they say they have to rest the WiFi
141,Poor service,4,@JohnLegere @ATandT @verizon @sprint @TMobileHelp @Twitter @ATandT @sprint @verizon you suck because you ruined my credit because just like the rest of Americans we figured out that you're out to get us and I believe everyone should cancel the contract an
142,Potential New Customer,5,@MediacomSupport What is the minimum mbps I am suppose to be recieving?    I consistently get 1-5 mbps on the 60 mbps plan.   Technician comes out and claims we could get up to 30 with a dual band router.   Meanwhile Verizon delivering 73-95 mbps. https:/
143,Poor service,4,@Verizon cell phone service has this 2-3 second delay before you can hear the person calling you.  Annoying!!!!
144,Churning/Lost customer,1,"@TMobile I am currently paying off my phone for Verizon, does T-Mobile offer something that can get me out of that?"
145,Churning/Lost customer,1,- So who wants to take on my phone bill this month? #BirthdayMonthI'm with @verizon so that says a lot. Lol. ????
146,Potential New Customer,5,"@RF_P0TUS @TrashyChic @ATT Good thing they aren’t the only cell provider. Hey, @verizon. How you doin?"
147,Poor service,4,@verizon third call to get services removed. Still there. Online account says I have Fios digital phone svc. Not available in my area. How?
148,Poor service,4,How am I supposed to trust Verizon?!
149,Poor service,4,It’s a crying shame when the free MTA WiFi is twice as fast as your overpriced Verizon Fios ?
150,Poor service,4,@VZWSupport Verizon just needs to confirm my order!!! I don't know why that takes so long and its been over a month!!!!
151,Higher Price,3,Find u someone whose as consistent as my Verizon monthly bill is inconsistent  ??
152,Poor service,4,@VerizonSupport One of your associates changed my plan WITHOUT my permission today. WTF Verizon?!?!
153,Churning/Lost customer,1,@VZWSupport Seriously Verizon?!?! Do u want me to lose me as a customer??? https://t.co/eTB78qB5hC
154,Churning/Lost customer,1,@barber616 We would like to do everything we can to keep your fiancé's parents with Verizon Wireless. Please let us know why they are considering leaving?  ^DJC
155,Churning/Lost customer,1,"@JohnLegere @TMobile After 20 years with @verizon and a grandfathered unlimited plan, I switched to T-Mobile and am saving $50 per month and the service is great so far."
156,Churning/Lost customer,1,"Hey @JohnLegere, my fiancé's parents want to switch from Verizon and want to know if they need to do anything to switch (they have iPhones)"
157,Poor service,4,I literally have never been happier switching from Verizon to AT&amp;T. Lord help me dealing with these Verizon people #Verizon
158,Churning/Lost customer,1,@allied1987 @JohnLegere @TMobile @verizon Yes ....way better than Verizon&amp;at&amp;t blues..
159,Poor service,4,I’m tired of being fucked around by Verizon
160,Churning/Lost customer,1,The Verizon guy that became the Sprint guy is the reason I have trust issues. True love doesn't even exist anymore smh
161,Potential New Customer,5,"@true__fact A guy from Verizon actually called me yesterday lol and I was like ""fuck it, sign me up"" ??"
162,Poor service,4,My check amount is inaccurate. A few weeks ago I was at $95 for May and now I'm at $22. I want my money. My Verizon Wireless cashback of $75 is missing but it wasn't missing before. @Ebates
163,Potential New Customer,5,@aliasvaughn @ATT @attwireless is my provider but it is so easy now to switch to Verizon. The Cancel @ATT Clock is ticking with the @IngrahamAngle show resuming this week. I’m sure Laura’s free to defend Nicholas Cruz and Stephen Paddock’s right to 
164,Higher Price,3,"@MetroPCS  If ya down wit Verizon, then too much money bein’ thrown. Come down to the Metro; I’ll hook ya up with a real phone. 99% coverage it’s the best in the nation. A sensation. For ya phone fixation, we tha celly telly grand station."
165,Poor service,4,@verizon The best streaming? Lol
166,Happy Customer,2,@RF_P0TUS @CathyTu90880257 @ATT Good thing I’m with @verizon.
167,Poor service,4,Tell me why this asshole at Verizon gave me a 64 gb when i told him twice i want the 256gb now i gotta go back
168,Potential New Customer,5,@andrewssports @ATT Time for a trip to Verizon
169,Poor service,4,@thomascbowen I noticed that as well. My wife's plan for work is even worse. What gives @verizon @VerizonSupport?
170,Potential New Customer,5,@sprint I have had Sprint for years and would not recommend. The service is so spotty. I can be standing next to my husband (who has Verizon ) and have ZERO service and he has not problem. Same goes w my sister who has AT&amp;T. I literally will have to u
171,Churning/Lost customer,1,I’m never doing business with @verizon ever again.
172,Poor service,4,@verizon one of your reps told me the hotspot speeds are the same on both the GoUnlimited and the BeyondUnlimited. Is this true? My current hotspot speed with GoUnlimited is awful
173,Higher Price,3,Cyberharassment victim highlights fee Verizon charges to block stalker https://t.co/dGxhpNAhLO
174,Happy Customer,2,@OptimumHelp @LitalAllouche Verizon's customer service is somehow better.. optimum is a total money grab
175,Potential New Customer,5,@verizon I have returned after being with #sprint. Waiting for the 5G in my zip 34609
176,Happy Customer,2,"@Moses4708 Ohh lol. That's what I thought you meant but wasn't sure. Yeah that's why we never got internet out here it's expensive and I've heard it's awful. So we just upgraded with Verizon and got unlimited data, which surprisingly works well out here. "
177,Churning/Lost customer,1,verizon sucks as over a 20 year customer your service sucks my s7 edge was ready to blow and you replace it with the s9 NG
178,Potential New Customer,5,Really debating on going back to Verizon.
179,Higher Price,3,"@VZWSupport Received (wireless?) bill for number I've never seen before, never signed up for anything verizon, called, after 15 min got ""nothing I can do"", just received another bill. Who has authority to resolve this? Frontline customer service is unhelp"
180,Happy Customer,2,@RF_P0TUS @ATT Consumers should switch to @verizon anyway. @ATT throttled my data so I left. No more dropped calls AND I get all my data. Do it.
181,Happy Customer,2,".@Att, let me just say one word: @Verizon. https://t.co/aBBJBIhDq8"
182,Poor service,4,"@VerizonSupport  I need your help,  10 days of the Montclair NJ wire down saga. I I called several  departments,  still waiting, I have an order # , was told the construction crew has the order.    Where do I have to call?  I am not a @Verizon customer an"
183,Potential New Customer,5,@ATT about to switch to Verizon over your sponsorship of Fox News. Enough already!
184,Happy Customer,2,@NoFilterTheProd I have Verizon now
185,Happy Customer,2,@Verizon thank you for returning the sleep timer feature! That power on STB light being on all night was evil! ??????????????????
186,Poor service,4,"@coolbhoy1888 Oh no, my old PC was blown up. As was my moms cellphone at that time, and her laptop. Shit went on for years. Everybody at Verizon (fuck them) back then thought we were nuts ? now everybody is so knowledged of hacking I'm like mhmm yeah f"
187,Happy Customer,2,@ILYBrittnei I have Verizon as well but don't remember having problems inside there
188,Poor service,4,@KCnoles17 Yeah i know but my data always messing up in there too idk what’s wrong with Verizon
189,Poor service,4,@VZWSupport Nope. It’s really a dead zone here for all Verizon customers. And a lot of us are Verizon customers.
190,Higher Price,3,Cyberharassment victim highlights fee Verizon charges to block stalker via /r/technology https://t.co/HZMDjBE6Aw
191,Happy Customer,2,Also the two days I’ve been on his Verizon hotspot I’ve experienced faster speeds than I’ve ever got on @ATT LTE
192,Poor service,4,Switching back to @ATT because I don’t have signal @industrybarnyc with @verizon.
193,Higher Price,3,@VZWSupport Where I live I pulled 12-15mbps with AT&amp;T. I only pull 2-3mbps with Verizon. I tried to deal with the store I bought it from and customer service and tech support. The only solution I was given was to pay an additional $250 for a signal bo
194,Churning/Lost customer,1,"@jtimberlake @IamCKirkpatrick @verizon Bye, bye, bye."
195,Poor service,4,"Verizon presumed me to have slow internet tonight, but tomorrow night I'll be doing the Star Wars N64 double feature."
196,Poor service,4,When @verizon claims to have the best coverage in SF but also tells me I'm roaming even though I'm at home
197,Poor service,4,Verizon be acting like some bitches
198,Potential New Customer,5,@jaassmineee_ Lol man my phone always tripping .. might switch to Verizon
199,Potential New Customer,5,"@Ask_Spectrum Please, add ONE AMERICA NEWS NETWORK.Verizon has it, this is a good reason to switch!!!"
200,Potential New Customer,5,@JackCWest @dkootman Have you looked into into Google’s @projectfi ? I’m stuck with @ATT bc that’s who my work pays for. I’d love to go back to @verizon bc the service is rock solid.
201,Higher Price,3,why do i pay for unlimited texts when the only one that texts me is verizon tellin me my bill’s past due
202,Poor service,4,@VZWSupport  My Verizon Up credits are not updating. I paid $22 on April 6th so I could get my next credit but nothing. https://t.co/dOduv8O2AZ
203,Potential New Customer,5,@sprintcare how come my phone is getting on 1x in an area listed as LTE+?? I am about ready to cancel and go back to @verizon
204,Poor service,4,@verizon FUCK YOU.
205,Potential New Customer,5,Gotta go run to Verizon tomorrow to get an otter box
206,Happy Customer,2,I’m listening to TEDTalks before heading out to do some client social media work tonight.  I love having @verizon’s unlimited data so that I can keep learning while at home or on the go. What’s your favorite TEDTalks that you’ve listened to? #verizon #bettermatters #brandpartner https://t.co/lrV1ddp8qE
207,Poor service,4,@Oprah @Lin_Manuel Finally!! @Verizon @VerizonSupport  subscribers are unable to watch and log into any @own mobile application platforms and that was not cool. I am glad I can watch on FB.
208,Poor service,4,Months of problems with @verizon. They tell me to pick up new equipment. Doesn't work. Now they discover problem with box in basement. No tv or internet until they come Tues. Need my laptop. Absolutely pissed. Done. Looking for new provider.
209,Potential New Customer,5,@Freevbu01553527 @FortniteRoyaIe All you need is verizon or sprint
210,Higher Price,3,@LoveNBaseball02 I have t-mobile and Verizon is good  but it’s too expensive
211,Poor service,4,@StamperMegan I’m on the unlimited plan because there’s no internet my way. But @verizon only slows my speeds down at my house after i pass the cap. Pisses me off lol
212,Potential New Customer,5,"Been a loyal @TMobile customer for over a decade but that means nothing when it comes to customer service. Switching providers. @ATT, @verizon, @sprint, who wants a new customer?"
213,Poor service,4,@tvsj Fuck sprint or Verizon
214,Poor service,4,Verizon Sucks Ass So Fuckin Bad ??
215,Poor service,4,Verizon LTE soooo trash bro
216,Poor service,4,@verizon haha fuck you
217,Higher Price,3,@JohnLegere I’ve been with T-Mobile since they were the underdog and I’ve told everyone that it’s amazing service for a fair price and watched people continue to get ripped off by at&amp;t and Verizon and now they all are switching over one by one. 
218,Churning/Lost customer,1,I am closing the Verizon phone services last month
219,Churning/Lost customer,1,@UberGooseUS another on the list of reasons i'm glad we switched to tmobile from verizon
220,Happy Customer,2,@_dannyhuerta I got service in the desert with Verizon
221,Happy Customer,2,"@VZWSupport awesome phone with a courtesy package, awesome network. Verizon is number 1 and cant be beat"
222,Poor service,4,Verizon service been sucky af ? they trying it ? all this money I pay for my calls to keep dropping ?
223,Happy Customer,2,"@verizon thank you verizon for the courtesy #S9plus best phone ever, best network ever!! Verizon is the GOAT of networks"
224,Poor service,4,@ATT @sprint I am tired of paying @verizon a premium $$ for what’s become mediocre service/reception
225,Potential New Customer,5,"@ATT Bye @ATT , it was a good 20 year run. Moving to Verizon tomorrow because you support @IngrahamAngle bullying shooting survivors."
226,Potential New Customer,5,@Boi_Hart I will be heading right back to Verizon next week ?
227,Poor service,4,"@VerizonSupport @verizon shut off our service last year to force us to upgrade. Still mad about that one, too."
228,Poor service,4,"@verizon my service sucks! I cant make a phone call anywhere around my house, even outside. Your ads are full of lies. I pay a shit ton for service I can't even use at home!!"
229,Happy Customer,2,I literally cannot stand Verizon like no service all day and I still don’t got shit ????????
230,Potential New Customer,5,Im looking to leave shitty ass @sprint whose buying out contracts @verizon @TMobile @ATT
231,Happy Customer,2,"@VZWSupport To clarify, I am saying Verizon is much better than Sprint, zero complaints here."
232,Poor service,4,"@VerizonSupport service is down in pgh, outage info on the verizon site keeps getting pushed back further. Day 2 of no service, what's happening?"
233,Potential New Customer,5,Man I can’t wait to leave @sprint lmao I’m going back to @verizon
234,Potential New Customer,5,@tcarmack @ATT Switch to Verizon
